calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2024-11-01,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,50438.0,739.3906649431
2024-11-02,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,50438.0,739.3906649431
2024-11-03,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,50438.0,739.3906649431
2024-11-04,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,47967.0,741.2538171222
2024-11-05,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,54159.0,741.3540891966
2024-11-06,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,58140.0,705.4247250533
2024-11-07,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60259.0,700.3864159661
2024-11-08,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60472.0,697.9674295542
2024-11-09,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60472.0,697.9674295542
2024-11-10,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60472.0,697.9674295542
2024-11-11,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,63544.0,691.6173826687
2024-11-12,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,69034.0,646.0436968827
2024-11-13,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,75890.0,656.1947592766
2024-11-14,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,76882.0,662.0265887204
2024-11-15,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,76579.0,662.7892693127
2024-11-16,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,76579.0,662.7892693127
2024-11-17,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,76579.0,662.7892693127
2024-11-18,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,76004.0,670.5151654689
2024-11-19,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,68233.0,709.6879665118
2024-11-20,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,67306.0,722.0741958458
2024-11-21,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,62369.0,710.6659827398
2024-11-22,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,62898.0,709.789363223
2024-11-23,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,62898.0,709.789363223
2024-11-24,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,62898.0,709.789363223
2024-11-25,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60650.0,705.3221926612
2024-11-26,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,52711.0,698.5326439681
2024-11-27,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,63960.0,703.1982459193
2024-11-28,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,65594.0,697.5021020124
2024-11-29,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,64709.0,699.6738796427
2024-11-30,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,64709.0,699.6738796427
2024-12-01,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,64709.0,699.6738796427
2024-12-02,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,66461.0,700.0154411264
2024-12-03,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,67874.0,700.2143977576
2024-12-04,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,57129.0,707.9624751982
2024-12-05,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,53635.0,726.3519330419
2024-12-06,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,53894.0,725.2283181115
2024-12-07,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,53894.0,725.2283181115
2024-12-08,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,53894.0,725.2283181115
2024-12-09,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,56292.0,721.9614386805
2024-12-10,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,59790.0,727.9879504817
2024-12-11,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,55727.0,733.5740490086
2024-12-12,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,59591.0,736.5241361179
2024-12-13,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,59510.0,737.1044021173
2024-12-14,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,59510.0,737.1044021173
2024-12-15,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,59510.0,737.1044021173
2024-12-16,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,60771.0,743.5523884764
2024-12-17,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,63419.0,756.3413080008
2024-12-18,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,56616.0,751.6248260421
2024-12-19,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,54999.0,761.6084976818
2024-12-20,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,54821.0,762.2127203407
2024-12-21,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,54821.0,762.2127203407
2024-12-22,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,54821.0,762.2127203407
2024-12-23,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,43514.0,775.6734597831
2024-12-24,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,21317.0,796.8336071352
2024-12-25,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,8888.0,925.0636220072
2024-10-01,Sheep,11,National Mutton Indicator,c/kg cwt,70884.0,290.9152300392
2024-10-02,Sheep,11,National Mutton Indicator,c/kg cwt,71047.0,292.3156551846
2024-10-03,Sheep,11,National Mutton Indicator,c/kg cwt,70365.0,285.8458833426
2024-10-04,Sheep,11,National Mutton Indicator,c/kg cwt,71065.0,285.5545533638
2024-10-05,Sheep,11,National Mutton Indicator,c/kg cwt,71065.0,285.5545533638
2024-10-06,Sheep,11,National Mutton Indicator,c/kg cwt,71065.0,285.5545533638
2024-10-07,Sheep,11,National Mutton Indicator,c/kg cwt,64137.0,279.0373331041
2024-10-08,Sheep,11,National Mutton Indicator,c/kg cwt,64134.0,273.8619351701
2024-10-09,Sheep,11,National Mutton Indicator,c/kg cwt,66129.0,261.8732313251
2024-10-10,Sheep,11,National Mutton Indicator,c/kg cwt,61678.0,268.7120729271
2024-10-11,Sheep,11,National Mutton Indicator,c/kg cwt,61482.0,269.6903268648
2024-10-12,Sheep,11,National Mutton Indicator,c/kg cwt,61482.0,269.6903268648
2024-10-13,Sheep,11,National Mutton Indicator,c/kg cwt,61482.0,269.6903268648
