report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-12-01,Production,Lambs,South Australia,Tonnes,12720.0000
2025-12-01,Production,Sheep,Tasmania,Tonnes,1367.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Tasmania,000,27.3000
2025-12-01,Slaughter,Sheep,Western Australia,000,497.5000
2025-12-01,Slaughter,Cows And Heifers,Victoria,000,364.3000
2025-12-01,Production,Calves,Australian Capital Territory,Tonnes,0.0000
2025-12-01,Production,Chickens,Queensland,Tonnes,65678.0000
2025-12-01,Slaughter,Calves,Australia,000,55.9000
2025-12-01,Slaughter,Lambs,Northern Territory,000,0.0000
2025-12-01,Slaughter,Chickens,South Australia,000,0.0000
2025-12-01,Slaughter,Chickens,Western Australia,000,0.0000
2025-12-01,Slaughter,Calves,New South Wales,000,21.9000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Queensland,000,581.3000
2025-12-01,Production,Lambs,Australian Capital Territory,Tonnes,0.0000
2025-12-01,Production,Calves,Queensland,Tonnes,6.0000
2025-12-01,Slaughter,Sheep,Tasmania,000,58.8000
2025-12-01,Slaughter,Sheep,Northern Territory,000,0.0000
2025-12-01,Production,Total Red Meat,Northern Territory,Tonnes,0.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Australia,000,2338.2000
2025-06-01,Slaughter,Sheep,Northern Territory,000,0.0000
2025-06-01,Production,Lambs,Western Australia,Tonnes,19216.0000
2025-06-01,Production,Chickens,Queensland,Tonnes,65112.0000
2025-06-01,Slaughter,Cows And Heifers,Queensland,000,418.0000
2025-06-01,Slaughter,Cows And Heifers,Tasmania,000,34.5000
2025-06-01,Slaughter,Pigs,Australia,000,1477.5000
2025-06-01,Production,Total Red Meat,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Tasmania,000,63.6000
2025-09-01,Production,Pigs,Victoria,Tonnes,27424.0000
2025-09-01,Production,Pigs,Queensland,Tonnes,32142.0000
2025-09-01,Production,Sheep,Queensland,Tonnes,26.0000
2025-09-01,Slaughter,Calves,Australian Capital Territory,000,0.0000
2025-09-01,Slaughter,Calves,Northern Territory,000,0.0000
2025-09-01,Production,Lambs,South Australia,Tonnes,11383.0000
2025-09-01,Production,Cattle (Excl. Calves),Australian Capital Territory,Tonnes,0.0000
2025-09-01,Production,Pigs,Tasmania,Tonnes,590.0000
2025-09-01,Slaughter,Lambs,Tasmania,000,83.1000
2025-09-01,Slaughter,Chickens,Queensland,000,34154.7000
2025-12-01,Production,Cattle (Excl. Calves),Australia,Tonnes,712888.0000
2025-12-01,Slaughter,Pigs,Victoria,000,318.3000
2025-12-01,Slaughter,Calves,Tasmania,000,5.8000
2025-12-01,Production,Pigs,Queensland,Tonnes,29354.0000
2025-12-01,Slaughter,Calves,South Australia,000,0.0000
2025-12-01,Production,Pigs,Australia,Tonnes,114043.0000
2025-12-01,Slaughter,Cows And Heifers,Queensland,000,357.9000
2025-12-01,Slaughter,Cows And Heifers,Tasmania,000,30.8000
2025-12-01,Slaughter,Pigs,Tasmania,000,7.3000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",New South Wales,000,202.2000
2025-12-01,Production,Chickens,South Australia,Tonnes,0.0000
2025-12-01,Slaughter,Calves,Victoria,000,27.8000
2025-12-01,Slaughter,Chickens,Australia,000,194098.2000
2025-12-01,Production,Sheep,Queensland,Tonnes,66.0000
2025-12-01,Slaughter,Lambs,Australian Capital Territory,000,0.0000
2025-12-01,Slaughter,Sheep,Victoria,000,1046.8000
2025-12-01,Production,Calves,Western Australia,Tonnes,24.0000
2025-12-01,Slaughter,Sheep,South Australia,000,126.3000
2025-12-01,Production,Cattle (Excl. Calves),Western Australia,Tonnes,35415.0000
2025-12-01,Production,Pigs,South Australia,Tonnes,24463.0000
2025-06-01,Slaughter,Chickens,Victoria,000,38005.5000
2025-06-01,Production,Pigs,Northern Territory,Tonnes,0.0000
2025-06-01,Slaughter,Calves,Australian Capital Territory,000,0.0000
2025-06-01,Production,Pigs,Tasmania,Tonnes,569.0000
2025-06-01,Production,Cattle (Excl. Calves),Australian Capital Territory,Tonnes,0.0000
2025-06-01,Production,Pigs,Australia,Tonnes,123346.0000
2025-06-01,Production,Pigs,Victoria,Tonnes,29330.0000
2025-06-01,Production,Chickens,Australia,Tonnes,394818.0000
2025-06-01,Production,Cattle (Excl. Calves),New South Wales,Tonnes,154353.0000
2025-06-01,Production,Cattle (Excl. Calves),Western Australia,Tonnes,33095.0000
2025-06-01,Slaughter,Chickens,Queensland,000,34455.9000
2025-06-01,Slaughter,Calves,Northern Territory,000,0.0000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Australian Capital Territory,000,0.0000
2025-06-01,Production,Pigs,South Australia,Tonnes,26639.0000
2025-06-01,Slaughter,Lambs,South Australia,000,706.7000
2025-06-01,Slaughter,Lambs,Northern Territory,000,0.0000
2025-06-01,Slaughter,Lambs,Western Australia,000,817.0000
2025-06-01,Production,Calves,Queensland,Tonnes,7.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Victoria,000,539.5000
2025-06-01,Slaughter,Sheep,Queensland,000,0.9000
2025-06-01,Production,Cattle (Excl. Calves),Victoria,Tonnes,154208.0000
2025-06-01,Slaughter,Chickens,New South Wales,000,66293.2000
2025-06-01,Production,Chickens,New South Wales,Tonnes,154541.0000
2025-06-01,Production,Sheep,Tasmania,Tonnes,1376.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Australian Capital Territory,000,0.0000
