calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2025-06-30,Sheep,11,National Mutton Indicator,c/kg cwt,53643.0,655.7021310367
2025-07-01,Sheep,11,National Mutton Indicator,c/kg cwt,52995.0,677.1407540598
2025-07-02,Sheep,11,National Mutton Indicator,c/kg cwt,52039.0,689.1885835931
2025-07-03,Sheep,11,National Mutton Indicator,c/kg cwt,54152.0,680.8917727268
2025-07-04,Sheep,11,National Mutton Indicator,c/kg cwt,53599.0,679.9113601056
2025-07-05,Sheep,11,National Mutton Indicator,c/kg cwt,53599.0,679.9113601056
2025-07-06,Sheep,11,National Mutton Indicator,c/kg cwt,53599.0,679.9113601056
2025-07-07,Sheep,11,National Mutton Indicator,c/kg cwt,53651.0,683.9684403497
2025-07-08,Sheep,11,National Mutton Indicator,c/kg cwt,57244.0,685.928267925
2025-07-09,Sheep,11,National Mutton Indicator,c/kg cwt,54511.0,683.8293772596
2025-07-10,Sheep,11,National Mutton Indicator,c/kg cwt,47243.0,690.6985793917
2025-07-11,Sheep,11,National Mutton Indicator,c/kg cwt,47577.0,692.4279413876
2025-07-12,Sheep,11,National Mutton Indicator,c/kg cwt,47577.0,692.4279413876
2025-07-13,Sheep,11,National Mutton Indicator,c/kg cwt,47577.0,692.4279413876
2025-07-14,Sheep,11,National Mutton Indicator,c/kg cwt,51600.0,698.0783676105
2025-07-15,Sheep,11,National Mutton Indicator,c/kg cwt,52506.0,693.359729149
2025-07-16,Sheep,11,National Mutton Indicator,c/kg cwt,51981.0,693.6279573075
2025-07-17,Sheep,11,National Mutton Indicator,c/kg cwt,57373.0,691.6816391282
2025-07-18,Sheep,11,National Mutton Indicator,c/kg cwt,58096.0,691.1721632677
2025-07-19,Sheep,11,National Mutton Indicator,c/kg cwt,58096.0,691.1721632677
2025-07-20,Sheep,11,National Mutton Indicator,c/kg cwt,58096.0,691.1721632677
2025-07-21,Sheep,11,National Mutton Indicator,c/kg cwt,59855.0,690.3277175491
2025-07-22,Sheep,11,National Mutton Indicator,c/kg cwt,58561.0,694.8999216253
2025-07-23,Sheep,11,National Mutton Indicator,c/kg cwt,62465.0,694.5630908173
2025-07-24,Sheep,11,National Mutton Indicator,c/kg cwt,60309.0,695.5600461308
2025-07-25,Sheep,11,National Mutton Indicator,c/kg cwt,60173.0,696.1890941785
2025-07-26,Sheep,11,National Mutton Indicator,c/kg cwt,60173.0,696.1890941785
2025-07-27,Sheep,11,National Mutton Indicator,c/kg cwt,60173.0,696.1890941785
2025-07-28,Sheep,11,National Mutton Indicator,c/kg cwt,52375.0,704.9676047561
2025-07-29,Sheep,11,National Mutton Indicator,c/kg cwt,47878.0,720.653087723
2025-07-30,Sheep,11,National Mutton Indicator,c/kg cwt,46922.0,729.7051795363
2025-07-31,Sheep,11,National Mutton Indicator,c/kg cwt,46273.0,743.3719515074
2025-08-01,Sheep,11,National Mutton Indicator,c/kg cwt,44575.0,748.6447242984
2025-08-02,Sheep,11,National Mutton Indicator,c/kg cwt,44575.0,748.6447242984
2025-08-03,Sheep,11,National Mutton Indicator,c/kg cwt,44575.0,748.6447242984
2025-08-04,Sheep,11,National Mutton Indicator,c/kg cwt,49342.0,770.1055216367
2025-08-05,Sheep,11,National Mutton Indicator,c/kg cwt,55614.0,771.8729813266
2025-08-06,Sheep,11,National Mutton Indicator,c/kg cwt,57743.0,775.6034563376
2025-08-07,Sheep,11,National Mutton Indicator,c/kg cwt,53541.0,770.4667585757
2025-08-08,Sheep,11,National Mutton Indicator,c/kg cwt,54109.0,771.9306445471
2025-08-09,Sheep,11,National Mutton Indicator,c/kg cwt,54109.0,771.9306445471
2025-08-10,Sheep,11,National Mutton Indicator,c/kg cwt,54109.0,771.9306445471
2025-08-11,Sheep,11,National Mutton Indicator,c/kg cwt,56182.0,751.4326906055
2025-08-12,Sheep,11,National Mutton Indicator,c/kg cwt,57152.0,753.2215032282
2025-08-13,Sheep,11,National Mutton Indicator,c/kg cwt,58750.0,741.1645015779
2025-08-14,Sheep,11,National Mutton Indicator,c/kg cwt,67840.0,741.9343576577
2025-08-15,Sheep,11,National Mutton Indicator,c/kg cwt,71159.0,742.1110897539
2025-08-16,Sheep,11,National Mutton Indicator,c/kg cwt,71159.0,742.1110897539
2025-08-17,Sheep,11,National Mutton Indicator,c/kg cwt,71159.0,742.1110897539
2025-08-18,Sheep,11,National Mutton Indicator,c/kg cwt,70649.0,736.5165643618
2025-08-19,Sheep,11,National Mutton Indicator,c/kg cwt,71816.0,729.135456014
2025-08-20,Sheep,11,National Mutton Indicator,c/kg cwt,68041.0,723.7537579621
2025-08-21,Sheep,11,National Mutton Indicator,c/kg cwt,64115.0,717.6845409124
2025-08-22,Sheep,11,National Mutton Indicator,c/kg cwt,63367.0,714.5898261161
2025-08-23,Sheep,11,National Mutton Indicator,c/kg cwt,63367.0,714.5898261161
2025-08-24,Sheep,11,National Mutton Indicator,c/kg cwt,63367.0,714.5898261161
2025-08-25,Sheep,11,National Mutton Indicator,c/kg cwt,59869.0,705.9801013596
2025-08-26,Sheep,11,National Mutton Indicator,c/kg cwt,59878.0,709.6005168476
2025-08-27,Sheep,11,National Mutton Indicator,c/kg cwt,62816.0,710.5512939315
2025-08-28,Sheep,11,National Mutton Indicator,c/kg cwt,61825.0,709.5108712026
2025-08-29,Sheep,11,National Mutton Indicator,c/kg cwt,60959.0,705.0984548221
2025-08-30,Sheep,11,National Mutton Indicator,c/kg cwt,60959.0,705.0984548221
2025-08-31,Sheep,11,National Mutton Indicator,c/kg cwt,60959.0,705.0984548221
2025-09-01,Sheep,11,National Mutton Indicator,c/kg cwt,61228.0,708.154608777
2025-09-02,Sheep,11,National Mutton Indicator,c/kg cwt,50369.0,709.6081027418
2025-09-03,Sheep,11,National Mutton Indicator,c/kg cwt,49090.0,713.2666839214
2025-09-04,Sheep,11,National Mutton Indicator,c/kg cwt,52664.0,709.4028004804
2025-09-05,Sheep,11,National Mutton Indicator,c/kg cwt,54860.0,714.1536117791
2025-09-06,Sheep,11,National Mutton Indicator,c/kg cwt,54860.0,714.1536117791
2025-09-07,Sheep,11,National Mutton Indicator,c/kg cwt,54860.0,714.1536117791
2025-09-08,Sheep,11,National Mutton Indicator,c/kg cwt,56117.0,715.1553148636
2025-09-09,Sheep,11,National Mutton Indicator,c/kg cwt,65193.0,722.5298643857
2025-09-10,Sheep,11,National Mutton Indicator,c/kg cwt,62079.0,729.928710949
2025-09-11,Sheep,11,National Mutton Indicator,c/kg cwt,60067.0,744.7955494498
2025-09-12,Sheep,11,National Mutton Indicator,c/kg cwt,55276.0,745.1359750109
2025-09-13,Sheep,11,National Mutton Indicator,c/kg cwt,55276.0,745.1359750109
2025-09-14,Sheep,11,National Mutton Indicator,c/kg cwt,55276.0,745.1359750109
2025-09-15,Sheep,11,National Mutton Indicator,c/kg cwt,55636.0,756.1354616993
2025-09-16,Sheep,11,National Mutton Indicator,c/kg cwt,56904.0,763.2695793986
2025-09-17,Sheep,11,National Mutton Indicator,c/kg cwt,60291.0,766.4482650777
2025-09-18,Sheep,11,National Mutton Indicator,c/kg cwt,61060.0,762.6036322322
2025-09-19,Sheep,11,National Mutton Indicator,c/kg cwt,63897.0,767.4669038124
2025-09-20,Sheep,11,National Mutton Indicator,c/kg cwt,63897.0,767.4669038124
2025-09-21,Sheep,11,National Mutton Indicator,c/kg cwt,63897.0,767.4669038124
2025-09-22,Sheep,11,National Mutton Indicator,c/kg cwt,62692.0,769.8547606361
2025-09-23,Sheep,11,National Mutton Indicator,c/kg cwt,64547.0,769.8755553008
2025-09-24,Sheep,11,National Mutton Indicator,c/kg cwt,65068.0,765.0326565531
2025-09-25,Sheep,11,National Mutton Indicator,c/kg cwt,61747.0,772.7809492332
2025-09-26,Sheep,11,National Mutton Indicator,c/kg cwt,62927.0,770.0079564209
2025-09-27,Sheep,11,National Mutton Indicator,c/kg cwt,62927.0,770.0079564209
2025-09-28,Sheep,11,National Mutton Indicator,c/kg cwt,62927.0,770.0079564209
2025-09-29,Sheep,11,National Mutton Indicator,c/kg cwt,67370.0,775.703605455
2025-09-30,Sheep,11,National Mutton Indicator,c/kg cwt,62515.0,797.6217149196
2025-10-01,Sheep,11,National Mutton Indicator,c/kg cwt,65970.0,802.5377805412
2025-10-02,Sheep,11,National Mutton Indicator,c/kg cwt,73770.0,801.5044285631
2025-10-03,Sheep,11,National Mutton Indicator,c/kg cwt,74525.0,802.8183245944
2025-10-04,Sheep,11,National Mutton Indicator,c/kg cwt,74525.0,802.8183245944
2025-10-05,Sheep,11,National Mutton Indicator,c/kg cwt,74525.0,802.8183245944
2025-10-06,Sheep,11,National Mutton Indicator,c/kg cwt,66903.0,810.4672976488
2025-10-07,Sheep,11,National Mutton Indicator,c/kg cwt,77226.0,802.0579525535
2025-10-08,Sheep,11,National Mutton Indicator,c/kg cwt,80691.0,798.8438818121
2025-10-09,Sheep,11,National Mutton Indicator,c/kg cwt,81642.0,780.6422168222
2025-10-10,Sheep,11,National Mutton Indicator,c/kg cwt,82311.0,772.8066625153
2025-10-11,Sheep,11,National Mutton Indicator,c/kg cwt,82311.0,772.8066625153
2025-10-12,Sheep,11,National Mutton Indicator,c/kg cwt,82311.0,772.8066625153
2025-10-13,Sheep,11,National Mutton Indicator,c/kg cwt,94766.0,747.4894654264
2025-10-14,Sheep,11,National Mutton Indicator,c/kg cwt,94092.0,713.3819596182
2025-10-15,Sheep,11,National Mutton Indicator,c/kg cwt,90109.0,696.4536571108
2025-10-16,Sheep,11,National Mutton Indicator,c/kg cwt,92673.0,686.1684682302
2025-10-17,Sheep,11,National Mutton Indicator,c/kg cwt,88715.0,682.4324360649
2025-10-18,Sheep,11,National Mutton Indicator,c/kg cwt,88715.0,682.4324360649
2025-10-19,Sheep,11,National Mutton Indicator,c/kg cwt,88715.0,682.4324360649
2025-10-20,Sheep,11,National Mutton Indicator,c/kg cwt,85753.0,680.3669217975
2025-10-21,Sheep,11,National Mutton Indicator,c/kg cwt,83469.0,685.2690913417
2025-10-22,Sheep,11,National Mutton Indicator,c/kg cwt,87584.0,678.7373521773
2025-10-23,Sheep,11,National Mutton Indicator,c/kg cwt,79378.0,682.4993382713
2025-10-24,Sheep,11,National Mutton Indicator,c/kg cwt,78751.0,685.3343226423
2025-10-25,Sheep,11,National Mutton Indicator,c/kg cwt,78751.0,685.3343226423
2025-10-26,Sheep,11,National Mutton Indicator,c/kg cwt,78751.0,685.3343226423
2025-10-27,Sheep,11,National Mutton Indicator,c/kg cwt,73621.0,689.8564080127
2025-10-28,Sheep,11,National Mutton Indicator,c/kg cwt,66959.0,687.9716903657
2025-10-29,Sheep,11,National Mutton Indicator,c/kg cwt,62697.0,699.9077538
2025-10-30,Sheep,11,National Mutton Indicator,c/kg cwt,71547.0,732.597048364
2025-10-31,Sheep,11,National Mutton Indicator,c/kg cwt,71458.0,734.6795024756
2025-11-01,Sheep,11,National Mutton Indicator,c/kg cwt,71458.0,734.6795024756
2025-11-02,Sheep,11,National Mutton Indicator,c/kg cwt,71458.0,734.6795024756
2025-11-03,Sheep,11,National Mutton Indicator,c/kg cwt,69692.0,744.8404888079
2025-11-04,Sheep,11,National Mutton Indicator,c/kg cwt,74866.0,753.9135774744
2025-11-05,Sheep,11,National Mutton Indicator,c/kg cwt,78873.0,751.7573169513
2025-11-06,Sheep,11,National Mutton Indicator,c/kg cwt,82093.0,735.8902443095
2025-11-07,Sheep,11,National Mutton Indicator,c/kg cwt,83137.0,734.5372768623
2025-11-08,Sheep,11,National Mutton Indicator,c/kg cwt,83137.0,734.5372768623
2025-11-09,Sheep,11,National Mutton Indicator,c/kg cwt,83137.0,734.5372768623
2025-11-10,Sheep,11,National Mutton Indicator,c/kg cwt,90362.0,730.2217647053
2025-11-11,Sheep,11,National Mutton Indicator,c/kg cwt,88593.0,721.2885067658
2025-11-12,Sheep,11,National Mutton Indicator,c/kg cwt,86960.0,728.6467556957
2025-11-13,Sheep,11,National Mutton Indicator,c/kg cwt,83527.0,733.2337972284
2025-11-14,Sheep,11,National Mutton Indicator,c/kg cwt,82503.0,733.7090921518
2025-11-15,Sheep,11,National Mutton Indicator,c/kg cwt,82503.0,733.7090921518
2025-11-16,Sheep,11,National Mutton Indicator,c/kg cwt,82503.0,733.7090921518
2025-11-17,Sheep,11,National Mutton Indicator,c/kg cwt,76997.0,737.6964834825
2025-11-18,Sheep,11,National Mutton Indicator,c/kg cwt,77824.0,743.4862011385
2025-11-19,Sheep,11,National Mutton Indicator,c/kg cwt,73230.0,753.5442124116
2025-11-20,Sheep,11,National Mutton Indicator,c/kg cwt,74003.0,751.3787488872
2025-11-21,Sheep,11,National Mutton Indicator,c/kg cwt,78076.0,747.7649254035
2025-11-22,Sheep,11,National Mutton Indicator,c/kg cwt,78076.0,747.7649254035
2025-11-23,Sheep,11,National Mutton Indicator,c/kg cwt,78076.0,747.7649254035
2025-11-24,Sheep,11,National Mutton Indicator,c/kg cwt,83184.0,747.1159719658
2025-11-25,Sheep,11,National Mutton Indicator,c/kg cwt,80201.0,753.7083742983
2025-11-26,Sheep,11,National Mutton Indicator,c/kg cwt,87692.0,750.2416111378
2025-11-27,Sheep,11,National Mutton Indicator,c/kg cwt,90918.0,753.6162549319
2025-11-28,Sheep,11,National Mutton Indicator,c/kg cwt,95068.0,752.4101429472
